Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.29,0.159,0.288,0.434
chickens,0.118,0.058,0.113,0.189
octopuses,0.062,0.023,0.059,0.108
bees,0.033,0.002,0.028,0.082
carp,0.033,0.005,0.025,0.085
salmon,0.013,0.002,0.01,0.034
crayfish,0.007,0.001,0.005,0.02
shrimp,0.003,0.0,0.002,0.01
crabs,0.003,0.0,0.002,0.008
bsf,0.001,0.0,0.0,0.002
silkworms,0.0,0.0,0.0,0.001
