Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.671,0.568,0.673,0.767
chickens,0.483,0.405,0.486,0.553
bees,0.454,0.356,0.451,0.547
octopuses,0.413,0.336,0.413,0.484
carp,0.391,0.299,0.392,0.474
salmon,0.299,0.234,0.305,0.357
crayfish,0.23,0.166,0.232,0.287
shrimp,0.211,0.147,0.209,0.265
crabs,0.165,0.117,0.166,0.211
bsf,0.125,0.072,0.124,0.17
silkworms,0.117,0.067,0.121,0.155
