Species,5th-pct,50th-pct,95th-pct
pigs,0.171,0.304,0.439
chickens,0.075,0.13,0.206
octopuses,0.037,0.073,0.127
carp,0.033,0.068,0.121
bees,0.029,0.063,0.118
salmon,0.013,0.025,0.043
crayfish,0.005,0.017,0.03
shrimp,0.002,0.006,0.013
crabs,0.002,0.006,0.013
bsf,0.0,0.001,0.005
silkworms,0.0,0.001,0.003
